Nom;Sigle;dep.;Ville;Joueurs;Age;Jeune;Sénior;Vétéran;  N  ;  R  ;  D  ;  P  ; NC ;Matchs;Points;Ecole
Saint-yrieix Badminton;SYB;16;Saint-Yrieix-sur-Charente;123;24.5;59;30;34;4;15;24;27;53;109;22997;0
Saint Xandre Badminton Club;SXBC;17;Saint-Xandre;37;37.0;1;13;23;;;2;17;18;0;191.88;0
Le Sert Volant Saint Martin d'Uriage;SVSMU38;38;Saint-Martin-d'Uriage;76;22.6;43;13;20;;2;6;30;38;29;904.21;204
Saint Vaury Badminton Club;SVBC;23;Saint-Vaury;72;28.6;29;11;32;1;13;15;19;24;114;11670.8;320
Saligny Vendée Badminton;SVB;85;Saligny;115;26.5;44;32;39;;6;25;18;66;224;2828.18;335
Soleil Volant;SV;40;Tosse;61;31.8;16;13;32;;;6;17;38;57;300.01;0
Sundgau Badminton;SUNBAD;68;Altkirch;69;27.4;23;23;23;;4;12;14;39;32;1427.96;95
Saint Jean Badminton;STJB;50;Saint-Jean-des-Champs;26;26.2;12;7;7;;;12;7;7;72;513.33;225
Sânon Sports et Loisirs;SSL;57;Moussey;19;22.3;13;0;6;;;4;8;7;0;128.99;260
Societe Sportive Cluis Badminton;SSCBA;36;Cluis;20;31.4;6;5;9;;;1;12;7;10;92.01;0
Société Sportive de Bonnat - section Badminton;SSBAB23;23;Bonnat;47;23.9;26;8;13;;2;7;19;19;71;1521.13;295
Saint Sim'Bad;SSB38;38;Saint-Siméon-de-Bressieux;100;30.7;26;27;47;;6;12;23;59;58;2835.75;0
Sablé smash'n'bad;SSB;72;Sablé-sur-Sarthe;72;28.7;27;15;30;;4;8;18;42;24;928.77;230
SREG Mulhouse Badminton;SREG;68;Rixheim;61;29.6;20;15;26;;4;21;14;22;99;2773.73;203
Sud Quercy Lafrançaise Omnisport;SQLO;82;Lafrançaise;27;23.2;15;6;6;;;3;6;18;0;114.14;0
Saint Quentin Badminton Club;SQBC;02;Saint-Quentin;103;26.1;36;44;23;;5;19;30;49;134;3792.32;0
Saint Pierre Olympique Club;SPOC;56;Saint-Pierre-Quiberon;39;18.8;28;3;8;;;2;19;18;44;148.82;220
Stade Porte Normande;SPN;27;Vernon;93;22.3;50;21;22;;8;7;28;50;56;5474.32;355
Saint Pierre Badminton;SPB;50;Saint-Pierre-Église;40;29.9;18;4;18;;;1;8;31;4;57.8;235
Saint Pierre d'Albigny Badminton;SPAB73;73;Saint-Pierre-d'Albigny;41;41.0;2;4;35;;;;2;39;0;30.06;0
AS Soustons Badminton;SOUSTONSB;40;Soustons;91;30.0;25;37;29;6;12;23;13;37;105;20897.7;125
Stade Olympique Du Maine;SOMLEMANS;72;Le Mans;126;25.5;54;40;32;;11;11;46;58;140;6112.19;265
Stade Olympique Millavois Bad.;SOMB;12;Millau;55;35.9;10;14;31;;3;8;17;27;40;1104.7;175
Sens Olympique Badminton Club;SOBC;89;Sens;134;27.7;52;37;45;;14;31;40;49;309;8045.88;460
Stade Des Olonnes Badminton Club;SOBC;85;Olonne-sur-Mer;0;0.0;0;0;0;;;;;;0;0;315
Sorbiers Badminton 42;SOBAD42;42;Sorbiers;197;29.9;62;49;86;5;20;31;63;78;604;29751.1;469
Saint-Orens Badminton;SOBAD;31;Saint-Orens-de-Gameville;202;26.9;69;72;61;3;47;35;60;57;711;36150;615
Sables d'Olonne Badminton 85;SOBAD;85;L'Île-d'Olonne,Vairé,Les Sables;161;32.1;46;39;76;;20;38;29;74;521;6299.48;518
Saint Nazaire Badminton;SNB;44;Saint-Nazaire;259;31.8;65;79;115;;3;22;46;188;158;2555.9;0
Amicale Laique St Martin Le V.;SMV38;38;Saint-Martin-le-Vinoux;74;28.3;28;19;27;;3;8;22;41;40;968.72;155
Stade Marseillais Universite Club;SMUC;13;Marseille;149;23.5;62;62;25;2;24;13;37;73;341;19988.1;413
Saint Martin Sports;SMS;41;Romorantin-Lanthenay;39;30.3;12;13;14;;;5;14;20;4;265.6;150
SMOC Badminton;SMOCBAD;45;Saint-Jean-de-Braye;108;26.0;34;50;24;;18;9;32;49;128;13544.6;150
Stade Multisports De Montrouge;SMM;92;Montrouge;310;26.7;89;146;75;12;42;32;70;154;417;70707.2;659
St Martin En Campagne Badminton;SMCB;76;Saint-Martin-en-Campagne;17;34.6;3;5;9;;;4;6;7;0;155.17;0
Saint Mathurin Badminton Club;SMBC;85;Saint-Mathurin;0;0.0;0;0;0;;;;;;0;0;0
Stade Montois;SMBAD;40;Mont-de-Marsan;66;20.0;40;19;7;10;9;11;11;25;163;48618.9;355
Saint Martin Badminton;SMB;49;Saint-Martin-du-Fouilloux;55;27.5;21;12;22;1;5;12;10;27;81;3195.41;279
Savigné Les Volants;SLV;72;Savigné-l'Évêque;85;29.2;31;13;41;;;9;32;44;118;534.46;310
Sports et Loisirs Saint Romain;SLSR43;43;Saint-Romain-Lachalm;29;38.2;0;8;21;;;2;14;13;12;52.02;0
SLSN Badminton Club Condé sur Noireau;SLSNBC;14;Condé-sur-Noireau;83;29.6;35;15;33;;4;8;16;55;125;1352.99;299
Sport et Loisir Paris XV;SLPXV;75;Paris;69;34.3;0;43;26;;;9;28;32;44;345.33;0
S. L. P. Chaulnes Badminton;SLPCHB;80;Chaulnes;40;23.0;25;4;11;;1;7;22;10;143;1215;250
Sports Loisirs De L'ornel;SLO;52;Bettancourt-la-Ferrée;32;30.9;8;10;14;;3;11;7;11;44;892.14;0
La Saint Louis De Gonzague;SLG;87;Limoges;45;44.3;0;16;29;;2;13;13;17;51;757.78;0
Sports Et Loisirs Dommartinois Badminton;SLDB69;69;Dommartin;51;30.5;13;22;16;;;;7;44;0;32.37;0
Sports Loisirs et Détente de Betschdorf;SLDB;67;Betschdorf;57;25.4;25;14;18;;1;11;18;27;18;872.84;320
S et L Constantia Strasbourg-neud;SLCSN;67;Strasbourg;33;38.3;6;6;21;;7;10;7;9;49;3207.5;0
Club Sports Loisirs Cult. Arles;SLCA;13;Arles;85;29.7;22;34;29;;7;5;25;48;23;4382.31;165
Stade Loupéen - Badminton;SLBAD;28;La Loupe;1;43.0;0;0;1;;;;;1;0;0;0
Stade Laurentin Badminton;SLB;06;Saint-Laurent-du-Var;98;26.9;42;21;35;;;10;35;53;64;401.25;0
Sports et Loisirs;SL;13;Saint-Cannat;26;36.1;4;9;13;;;;15;11;0;114.06;195
Sant Ké Bad';SKB;22;Saint-Quay-Portrieux;25;41.5;0;5;20;;;1;16;8;3;74.68;0
Saint Joseph Badminton Club;SJBC42;42;Saint-Joseph;34;24.3;19;3;12;;1;8;11;14;35;796.42;0
Saint Jean Badminton Club;SJBC;31;Saint-Jean;198;32.8;49;49;100;1;17;29;73;78;206;12268.5;275
Saint Jacques Badminton;SJB;35;Saint-Jacques-de-la-Lande;140;31.5;33;44;63;13;33;29;35;30;429;72313.9;593
Sid Badminton;SIDB;41;La Chapelle-Vendômoise;19;29.4;8;1;10;;;;6;13;0;26.74;115
L'herblaisienne;SH;95;Herblay;193;30.2;60;61;72;;;26;52;115;37;1269.64;471
Saint Gely - Saint Clément Badminton;SGSCB;34;Saint-Gély-du-Fesc;154;30.6;52;38;64;;12;11;45;86;84;6691.9;320
Saint Georges Badminton;SGBAD28;28;Saint-Georges-sur-Eure;33;38.0;3;9;21;;2;10;10;11;73;1061.69;0
Saint Genis Badminton;SGB01;01;Saint-Genis-Pouilly;229;24.4;97;71;61;1;12;40;45;131;327;8886.51;455
Saint Germain Badminton;SGB;61;Saint-Germain-du-Corbéis;39;37.7;1;16;22;;2;11;18;8;53;946.19;0
St Go Bad;SGB;36;Saint-Gaultier;31;29.9;11;4;16;;;4;14;13;8;174.11;295
Saint Germain 87 Badminton Club;SG87BC;87;Saint-Germain-les-Belles;20;29.2;5;8;7;;;;17;3;0;36.53;0
Saint François Badminton Club;SFBC;971;Saint-François;25;34.6;10;1;14;;2;7;13;3;4;561.07;315
Stade Francais;SF;75;Paris;125;23.8;59;41;25;;;4;39;82;40;195.66;267
Set Badminton Marseille;SETBM;13;Marseille;0;0.0;0;0;0;;;;;;0;0;0
Sport Elec Dampierre - section Badminton;SEDB;45;Dampierre-en-Burly;22;32.5;1;13;8;;1;14;6;1;58;1483.22;0
Sporting Club du Volant Biachet;SCVB;03;Désertines;65;35.2;7;23;35;;1;14;34;16;34;804.61;0
Smash Club USMG;SCUSMG;93;Gagny;182;28.8;58;55;69;;;12;67;103;13;796.4;418
Sporting Club De St Amand;SCSA;18;Saint-Amand-Montrond;35;28.6;13;8;14;;4;7;11;13;42;3118.55;250
SC Sélestat;SCS;67;Sélestat;107;24.9;54;21;32;;8;14;21;64;61;3480.08;0
Sporting Club Le Rheu Badminton;SCRBAD;35;Le Rheu;70;19.4;45;14;11;;1;8;24;37;0;668.46;277
Sporting Cheminot de Pratique Omnisports Badminton;SCPOBAD;94;Ivry-sur-Seine;19;33.7;0;13;6;;;;3;16;2;10.08;0
Saint Chamond Pays du Gier Badminton;SCPGBAD42;42;Saint-Chamond;150;26.1;56;56;38;1;12;22;27;88;381;10436.5;538
Sporting Club Mevennais;SCM;35;Saint-Méen-le-Grand;89;24.0;41;28;20;;1;8;28;52;0;497.54;0
Sport. Club Gretz-tournan;SCGT;77;GRETZ-TOURNAN;58;20.4;32;20;6;;1;4;30;23;43;429.13;180
Chantecler;SCBNL;33;Bordeaux;179;27.6;56;73;50;9;16;27;30;97;215;62005.8;483
Sporting Club Briard;SCB;77;Brie-Comte-Robert;125;28.4;33;50;42;;9;19;40;57;56;5652.67;200
Sporting Club De Beaucouze;SCB;49;Beaucouzé;132;25.0;60;37;35;;8;19;30;75;117;3118.92;0
Saint Cyprien Badminton;SCB;66;Saint-Cyprien;51;35.8;13;12;26;;4;3;9;35;74;2800.38;0
Section Badminton Quincy-voisins;SBQV;77;Quincy-Voisins;118;27.0;43;37;38;;18;13;32;55;52;10899.6;0
Cottages Illkirch Graffenstaden;SBLC;67;Illkirch-Graffenstaden;54;33.2;15;9;30;;;6;14;34;4;358.97;150
Section Badminton Hilairoise;SBH;17;Saint-Hilaire-de-Villefranche;40;30.0;15;6;19;;;;22;18;0;128.79;0
Sect. Bad. Claye-souilly;SBCS;77;Claye-Souilly;206;28.0;79;48;79;9;24;43;50;80;253;44977.4;405
Section Badminton du CO Remilly;SBCOR;57;Rémilly;53;22.0;32;10;11;;1;6;19;27;29;456.81;100
Scherwiller Badminton Club 67;SBC67;67;Scherwiller;56;30.3;10;23;23;;5;15;14;22;71;3261.19;0
Sarreguemines Badminton Club;SBC57;57;Sarreguemines;130;22.8;71;30;29;6;14;26;29;55;282;27680.8;416
Sassenage Badminton Club;SBC38;38;Sassenage;196;32.7;37;73;86;;24;16;41;115;212;18767.8;230
Sete Badminton Club;SBC;34;Sète;115;27.4;44;36;35;4;10;16;30;55;65;19427.3;435
Simiane Badminton Club;SBC;13;Simiane-Collongue;112;32.6;32;25;55;;11;17;33;51;86;7595.59;230
Speed Bad Club;SBC;62;Méricourt;72;21.6;42;16;14;;3;10;17;42;39;1128.06;203
Sablons Badminton Club;SBC;33;Sablons;24;32.1;11;1;12;;;7;8;9;0;228.07;0
Savonnières Badminton Club;SBC;37;Savonnières;66;26.3;31;10;25;;;1;3;62;0;53.83;110
Saint Barthélémy Badminton Club;SBBC;49;Saint-Barthélemy-d'Anjou;213;23.5;106;60;47;7;40;39;42;85;710;48071.5;778
Saint Be Bad;SBB;36;Saint-Benoît-du-Sault;34;21.7;17;7;10;;;;11;23;0;57.1;0
Section Badminton Amicale Laïque de Tardy;SBALT42;42;Saint-Étienne;39;32.8;0;24;15;;;;5;34;8;20.22;0
Soisy Bad Association;SBA;91;Soisy-sur-Seine;118;30.8;44;21;53;;6;16;25;71;6;4603.71;225
Sénart Badminton;SB77;77;Combs-la-Ville;355;22.7;186;90;79;23;22;35;83;192;362;138042;716
Sim'Bad;SB69;69;Simandres;31;39.0;2;5;24;;;3;21;7;16;168.75;0
Super Bad;SB;33;Bordeaux;5;30.2;0;4;1;;;1;4;;0;63.09;0
Sochaux Badminton;SB;25;Sochaux;22;27.5;7;7;8;;;;4;18;10;10.63;195
SauBad;SB;46;Sauzet;14;43.7;4;0;10;;;;2;12;0;3.84;0
Sancerre Badminton;SB;18;Sancerre;39;30.0;11;13;15;;;;1;38;0;2.08;0
Sport Athletique Verdunois;SAV;55;Verdun;71;29.0;23;18;30;;3;13;16;39;31;1390.54;0
Les Sass Du Volant;SASSBAD;40;Saint-Sever;35;37.1;6;8;21;;3;11;8;13;55;1411.02;0
Sport Athlétique St Florentais;SASFBAD;85;Saint-Florent-des-Bois;28;29.7;7;8;13;;;5;4;19;63;233.52;0
Société Aygulfoise Sports et Loisirs;SASEL;83;Saint-aygulf;71;40.9;3;23;45;;8;6;16;41;60;3729.32;0
Sas Badminton;SASBAD24;24;Notre-Dame-de-Sanilhac;153;31.2;42;48;63;1;16;20;34;82;214;12380.7;238
Badminton Club St Avertin Sport;SAS;37;Saint-Avertin;169;32.4;47;46;76;1;12;12;40;104;161;10190.7;358
Sport Athlétique Médocain Omnisports Lesparre;SAMBAD;33;Lesparre-Médoc;19;36.6;5;4;10;;;5;7;7;7;253.36;0
Sam Badminton;SAMB;79;Moncoutant;25;33.4;5;8;12;;;5;9;11;0;293.23;0
S. A. Merignac Badminton;SAM33;33;Mérignac;196;27.6;51;87;58;6;35;30;51;74;339;40149.1;509
Saint André de Cubzac Badminton;SACB;33;Saint-André-de-Cubzac;189;28.8;60;49;80;2;17;31;42;97;94;14275.7;425
Saint Armel Badminton;SABAD;35;Saint-Armel;0;0.0;0;0;0;;;;;;0;0;0
Section Agnelaise de BAdminton;SABA;50;Agneaux;41;26.3;15;15;11;;9;10;6;16;172;3702.91;200
Saint Affrique Badminton;SAB;12;Saint-Affrique;26;29.0;7;9;10;;4;7;13;2;34;2184.81;0
Semur En Auxois Badminton;SAB;21;Semur-en-Auxois;28;36.8;2;10;16;;2;1;8;17;4;646.95;0
Sancy Artense Badminton;SAB;63;La Tour-d'Auvergne;32;19.3;23;4;5;;;4;10;18;41;138.87;0
Summit Association Badminton;SAB;73;Hauteluce;4;48.2;0;0;4;;;;3;1;0;1.94;0
Stade Auxerrois;SA;89;Auxerre;100;31.5;24;35;41;1;11;21;26;41;196;9441.82;0
Sports 13 Badminton;S13B;13;Velaux;0;0.0;0;0;0;;;;;;0;0;0
Saulnes Badminton Club;S.B.C.;54;Saulnes;59;25.5;19;26;14;;4;4;21;30;36;2399.42;240
Raquettes Vallon Ohlungen;RVO;67;Ohlungen;22;37.5;0;11;11;;;;2;20;0;0.24;0
Raquetteurs Volants Egletons;RVE;19;Égletons;52;23.3;30;8;14;;;11;17;24;60;677.68;175
Rennes Universites Club;RUC;35;Rennes;26;39.7;0;8;18;;;7;13;6;0;267.08;0
Reims Universite Club;RUC;51;Reims;0;0.0;0;0;0;;;;;;0;0;265
R. S. St Cyr Sur Loire;RSSC;37;Saint-Cyr-sur-Loire;256;28.0;83;91;82;;14;23;59;160;169;6786.46;290
Ruche Sportive Nouanaise Badminton;RSNBAD;41;Nouan-le-Fuzelier;24;25.9;11;4;9;;3;1;11;9;23;926.94;220
Red Star Mulhouse;RSM;68;Mulhouse;129;24.7;62;35;32;25;16;29;18;41;356;179984;520
Red Star Club Montreuillois;RSCM;93;Montreuil;66;31.5;11;26;29;;9;10;15;32;38;5150.16;0
Red Star Club Champigny;RSCC;94;Champigny-sur-Marne;109;33.9;29;25;55;;;4;22;83;2;287.7;0
RomaSauv'Bad;RSB;35;Romagné-St Sauveur des Landes;51;27.9;18;15;18;;;1;19;31;0;155.89;0
Romilly Sport 10;RS10;10;Romilly-sur-Seine;25;34.5;4;6;15;;2;1;6;16;0;524.05;0
Reims Métropole Badminton;RMB;51;Reims;119;24.4;39;63;17;14;22;14;10;59;225;92440.3;285
Reveil Laique Pontivien;RLP;56;Pontivy;51;30.8;14;18;19;;1;10;19;21;49;711.59;145
Recrea-gym;RG;31;Plaisance-du-Touch;79;27.9;35;9;35;;;7;27;45;32;306.49;125
Ligue LA REUNION;REUN;974;Ste Clotilde;719;28.3;289;156;274;7;66;91;183;372;88;47208.3;0
REC Badminton;REC;35;Rennes;138;26.1;12;108;18;1;27;25;27;58;170;21645.6;0
Reims Europe Club Badminton;REC;51;Reims;83;24.2;33;30;20;2;16;17;13;35;293;18043.6;0
Rhône Eyrieux Badminton Club 07;REBC07;07;Beauchastel;25;38.0;2;11;12;;;3;12;10;20;80.23;0
RACING CLUB DE FRANCE;RCF;75;Paris;324;24.7;145;114;65;15;14;46;67;182;253;124812;607
Raquette Club Beinheim;RCB;67;Beinheim;11;36.8;0;4;7;;2;6;2;1;0;829.86;0
Raquettes Club De Ballan;RCB;37;Ballan-Miré;36;27.2;19;2;15;;;;9;27;0;26.61;0
Rush Bad Fontaine-lès-Dijon;RBFD;21;Fontaine-lès-Dijon;157;30.5;47;52;58;1;13;11;39;93;153;7229.72;195
RIEDISHEIM BADMINTON CLUB;RBC;68;Riedisheim;88;24.0;47;16;25;;8;30;20;30;68;4574.37;0
Riom Badminton Club;RBC;63;Riom;141;27.8;51;38;52;;3;22;50;66;148;2319.42;406
Reichshoffen Badminton Club;RBC;67;Reichshoffen;50;24.4;26;8;16;;;12;10;28;12;506.31;160
Rethel Badminton Club;RBC;08;Rethel;33;22.0;22;3;8;;;4;6;23;18;330.59;0
Rosières Badminton Club;RBC;80;Rosières-en-Santerre;29;35.5;2;9;18;;;1;16;12;53;178.19;0
Re Badminton Club;RBC;17;Saint-Martin-de-Ré;46;30.1;14;18;14;;;1;25;20;0;154.89;150
Rioz Bad;RB;70;Rioz;70;22.7;40;8;22;;;7;26;37;124;360.88;0
Rhuys Badminton;RB;56;Sarzeau;17;34.7;4;1;12;;;6;7;4;47;298.15;0
Régina Badminton;RB;49;Bégrolles-en-Mauges;44;27.7;18;7;19;;;9;14;21;8;268.62;165
Le Rush Aux Fées;RAF;35;Retiers;68;22.0;40;11;17;;;7;19;42;10;331.37;0
Racing Athlétic Club des Cheminots;RACC;44;Nantes;97;33.7;0;67;30;;;7;33;57;85;395.97;0
Rueil Athletic Club;RAC;92;Rueil-Malmaison;359;27.6;166;59;134;9;17;27;65;241;215;43273.1;457
Philo-Volants d'Hag;PVH;67;Haguenau;0;0.0;0;0;0;;;;;;0;0;233
Les Poly-Volants de Fenain;PVF;59;Fenain;52;25.3;22;13;17;;2;14;17;19;123;944.66;235
Petits Tamis Loriolais;PTL26;26;Loriol-sur-Drôme;81;30.4;21;31;29;;3;14;42;22;149;1373.36;200
Promo Sports Loisirs Alpes d'Azur FSGT;PSL;06;Nice;3;32.0;0;1;2;;;1;1;1;0;27.27;0
Le Perche Senonchois Badminton;PSB;28;Senonches;47;24.9;24;7;16;;8;9;17;13;144;4108.34;255
PSA Peugeot Citroën ACC Charleville;PSAACC;08;Charleville-Mézières;10;39.9;0;3;7;;1;5;3;1;34;459.45;0
PRO PATRIA;PRO.PATRIA;63;Maringues;31;37.5;3;11;17;;;;22;9;0;142.53;0
Perpignan Roussillon Badminton;PRB;66;Perpignan;84;30.9;29;20;35;;6;15;27;36;172;3014.48;0
Poule Minton Club;PMC;71;Pierre-de-Bresse;3;17.3;2;1;0;;;;1;2;0;0.03;0
Poona Montivilliers Bad.club;PMBC;76;Montivilliers;74;23.4;42;11;21;;4;13;18;39;0;3196.82;455
Passy Mont Blanc;PMBB74;74;Passy;64;28.0;22;21;21;;8;14;10;32;126;3287.42;0
Patronage Laïque Villette Paul Bert;PLVPBLYON;69;Lyon;103;24.3;34;53;16;9;17;20;24;33;193;36188.9;125
Patronages Laiques De Troyes;PLT;10;Troyes;133;24.0;50;53;30;3;26;25;25;54;239;26965.6;270
Patronage Laique Relecq-kerhuon;PLRK;29;Le Relecq-Kerhuon;131;23.3;73;25;33;3;27;21;36;44;450;27418.1;420
Patronage Laique D'octeville;PLO;50;Octeville;91;26.8;29;36;26;2;23;22;38;6;226;16543.3;260
Plm Badminton Conflans Ste Honorine;PLMC;78;Conflans-Sainte-Honorine;87;42.1;0;21;66;;;5;19;63;0;150.07;0
Patronage Laique de Lorient;PLL;56;Lorient;0;0.0;0;0;0;;;;;;0;0;0
Plestin Badminton;PLESTI;22;Plestin-les-Grèves;57;27.4;27;7;23;;3;3;21;30;22;688.94;302
Pournoy La Chétive Badminton;PLCB;57;Pournoy-la-Chétive;22;26.4;10;4;8;;;2;5;15;10;166.49;0
Plume Lauragaise;PL;31;Villefranche-de-Lauragais;77;30.5;26;8;43;;;5;19;53;0;252.6;150
Plaimpied-Givaudins Badminton;PGBAD;18;Plaimpied-Givaudins;34;33.4;7;10;17;;;1;8;25;3;116.38;0
Plumes En Folie De Serifontaine;PFS;60;Sérifontaine;24;25.8;10;7;7;;;;10;14;0;14.2;0
Plumes d'Ergue;PE;29;Ergué-Gabéric;3;34.3;1;0;2;;;;2;1;0;5.1;0
Ligue PAYS DE LA LOIRE;PDLL;49;Angers;13257;28.1;4643;3814;4800;94;695;1776;3789;6903;16778;791267;0
Presqu'île Crozon Badminton;PCB;29;Crozon;6;35.2;0;3;3;;;;6;;18;23.6;0
La Plume De Charleville;PC;08;Charleville-Mézières;74;27.3;18;36;20;3;28;16;18;9;430;24904.3;365
Prole Badminton Saint Claude;PBSC;39;Saint-Claude;24;33.7;4;7;13;;;3;13;8;22;195.35;0
Plaintel Badminton Club;PBC22;22;Plaintel;97;26.2;48;14;35;;;8;26;63;13;377.54;167
Pornichet Badminton Club;PBC;44;Pornichet;251;35.3;61;62;128;1;21;25;53;151;171;11343;0
Poissy Badminton Club;PBC;78;Poissy;134;27.9;37;57;40;;6;17;38;73;78;3129.34;210
Phalsbourg Badminton Club;PBC;57;Phalsbourg;92;28.1;37;20;35;;7;12;29;44;80;2252.32;0
Phoenix Badminton Club;PBC;80;Feuquières-en-Vimeu;80;27.4;25;31;24;;3;10;33;34;129;1241.91;270
Panazol Badminton Club;PBC;87;Panazol;67;30.4;22;18;27;;1;11;33;22;38;850.37;0
Prades Badminton;PB66;66;Prades;76;24.8;41;11;24;;;7;29;40;80;296.71;0
Pontarlier Badminton;PB25;25;Pontarlier;136;26.8;55;41;40;;5;14;41;76;245;2401.48;285
Pradines Badminton;PB;46;Pradines;141;22.9;73;37;31;;5;12;42;82;307;3155.99;537
Pluvi'Bad;PB;56;Pluvigner;98;23.0;60;7;31;;1;11;35;51;95;734.5;285
Plessis Badminton;PB;91;Le Plessis-Pâté;82;33.0;18;21;43;;;2;20;60;0;157.24;0
Ploeucoise Badminton;PB;22;Ploeuc Sur Lie;55;19.3;39;2;14;;;2;24;29;29;145.65;0
Pantin Badminton;PB;93;Pantin;84;31.2;17;38;29;;;;9;75;0;10.31;0
Papillons du Bad;PAPS;971;Le Gosier;40;32.7;7;16;17;;1;4;7;28;4;546.56;0
Les Plumes de l'Ardèche Nord;PAN07;07;Annonay;101;35.2;21;26;54;;2;13;25;61;67;876.38;0
Ligue PROVENCE-ALPES-COTE D'AZUR;PACA;13;Fos-sur-Mer;7919;29.6;2625;2181;3113;126;537;811;2240;4205;11075;1025710;0
Pays d'Auge Badminton;PAB;14;Lisieux;269;23.9;141;50;78;3;19;54;54;139;602;26586.9;706
Plume Sportive Sanceenne;P2S;10;Saint-Julien-les-Villas;59;31.4;16;17;26;;;13;18;28;14;500.5;0
Partage de Passions;P2P;13;Marseille;9;29.3;0;8;1;;;;8;1;0;60.27;0
Parthenay de Bretagne Badminton;P2B;35;Parthenay-de-Bretagne;42;32.0;10;12;20;;;2;22;18;0;196.4;0
Offran'Vol Loisir;OVL;76;Offranville;50;25.7;21;14;15;;2;9;26;13;55;905.1;234
Omnia Sports De Sannois;OSS;95;Sannois;35;40.1;3;10;22;;;;;35;0;0;0
Osm Sequedinois Badminton;OSMSB;59;Sequedin;62;19.9;37;16;9;;6;8;14;34;98;2631.49;253
Omnisports Munic. Lommois Bad.;OSMLBAD;59;Lomme;91;24.7;35;34;22;;4;20;20;47;44;1562.57;190
Omnibad Nord Est Anjou;ONEA;49;Vernantes-Allonnes-Longué;109;19.7;69;20;20;;11;19;23;56;139;6803.96;551
Olympique de Grande-Synthe Badminton;OGSBAD;59;Grande-Synthe;79;26.1;29;29;21;10;13;15;16;25;291;76247.7;543
Omnisports Frouard Pompey Bad;OFPBAD;54;Frouard;57;24.0;32;9;16;;1;10;16;30;76;469.4;0
Outre Forêt Badminton Club;OFBC;67;Soultz-sous-Forêts;68;25.6;32;9;27;;10;23;13;22;130;4983.81;426
Olympique Club Montalbanais;OCM;35;Montauban-de-Bretagne;63;30.7;17;20;26;;2;8;15;38;0;709.94;0
Oc Gif Badminton;OCGBAD;91;Gif-sur-Yvette;213;25.1;94;61;58;10;15;19;43;126;191;50692.8;655
Ligue OCCITANIE;OCCI;11;Narbonne;11604;28.2;4096;3339;4169;123;764;1555;3194;5968;15899;900004;0
Olympique Cabries Calas Bad.;OCCB;13;Cabriès;59;31.0;22;8;29;;3;4;27;25;17;1276.84;185
OC Cesson-Sevigne Badminton;OCC;35;Cesson-Sévigné;37;32.7;0;21;16;;1;7;16;13;42;530.05;0
Orthez Club Badminton;OCB;64;Orthez;49;24.9;22;16;11;;;1;19;29;24;99.8;0
Ô Bad Fertois;OBF;77;La Ferté-sous-Jouarre;68;27.2;28;21;19;;;8;27;33;0;391.5;0
Orvault Badminton Club;OBC;44;Orvault;393;27.9;147;105;141;2;34;46;108;203;365;31105.7;500
Olympique Badminton Club Nimes;OBC;30;Nîmes;216;26.0;102;52;62;;15;29;57;115;593;12389.3;681
Olympe Badminton Club;OBC;31;Toulouse;122;31.0;0;89;33;;3;12;24;83;34;1543.69;0
Olympique Badminton Club Noumea;OBC;988;Noumea;30;37.5;0;12;18;;;7;15;8;0;299.34;0
Olympique Baugeois Badminton;OBB;49;Baugé;59;27.9;22;13;24;;;4;13;42;0;189.06;0
OLEMPS BADMINTON CLUB;OBAD;12;Olemps;52;30.3;14;21;17;;8;11;18;15;59;4131.01;0
Oberschaeffolsheim Badminton;OBAD;67;Oberschaeffolsheim;32;24.0;16;9;7;;;2;6;24;11;136.8;200
L'Oasis -Association Culturelle et Sportive;OASIS;78;Saint-Cyr-l'École;83;19.7;58;9;16;;;7;32;44;10;316.01;0
Nice Universite Club Badminton;NUCBAD;06;Nice;130;26.9;48;43;39;1;27;15;24;63;321;15072.7;295
Nohanent Puy Valeix;NPV;63;Nohanent;32;35.8;3;13;16;;;;19;13;0;101.16;0
Nozay Badminton;NOS;44;Nozay;29;26.8;12;5;12;;;6;5;18;3;202.35;0
Ligue NORMANDIE;NORM;61;Vimoutiers;7384;26.6;3082;1900;2402;114;549;1047;1906;3768;8827;893472;0
Nantes Gigant Bad;NGB;44;Nantes;126;34.0;0;79;47;;;3;45;78;0;314.03;0
Badminton Club de Neufchateau;NEOBAD;88;Neufchâteau;9;31.8;2;2;5;;;1;5;3;0;48.49;0
Nantes Est Club Badminton;NECB;44;Nantes;69;33.2;14;24;31;;;1;18;50;8;99.64;0
Nord Charente Badminton;NCB;16;Ruffec;29;18.7;20;5;4;;1;5;5;18;36;347.15;145
Ligue NOUVELLE CALEDONIE;NCAL;988;Noumea;335;27.7;119;106;110;;21;41;93;180;0;14303.8;0
Noceen Badminton Club;NBC;93;Neuilly-sur-Marne;99;28.7;43;18;38;1;5;9;34;50;66;4092.05;290
Nailloux Badminton Club;NBC;31;Nailloux;74;27.5;32;11;31;;5;5;21;43;36;2006.81;170
Nieppe Badminton Club;NBC;59;Nieppe;43;32.8;11;11;21;;;11;10;22;3;468.22;85
Nordon Badminton Club;NBC;54;Nancy;0;0.0;0;0;0;;;;;;0;0;0
Nemours Badminton Club;NBC;77;Nemours;0;0.0;0;0;0;;;;;;0;0;0
